"","RE","CC","OC","L","CL","A"
"mean","0.370254255424927","1.7631518679305","0.434088851756106","0.270555212321766","0.483757080957414","0.295804813322006"
"max","1.84639256243771","4.22470123231986","1.30102605897094","1.17596836446222","1.44174799114177","3.51006946881016"
"min","0.028575715285996","0.736034434186956","0.184948625850859","0.00555576390105629","0.0666966876840104","-0.00555534723437982"
"Volatility","0.00183666218277496","0.00455906198453536","0.000452171242579208","0.000404280364604093","0.00113475140810046","0.00285945545923337"
"Acf(1)","97.3141427314996","93.5654056732045","94.023379216083","78.32925460044","94.3634487450523","83.561856503169"
"median","0.178739083846738","1.64146946685835","0.378316241660796","0.214198858256218","0.3927064672636","0.127888134208165"
